engagement,followers,following,total_likes,author_name,privateAccount,verified,total_videos,day_posted,time_posted,video_likes,video_comments,video_plays,video_duration,shareCount,isMuted,isPinned,isSlideshow,music_name,original_sound,hashtags_used
881,33400000,317,818000000,thatlittlepuff,False,True,993,tuesday,2.03,4100000,24100,37600000,18,30500,False,False,False,Not Angry,False,6
5972,185400,560,5700000,02_15min,False,False,33,saturday,23.18,4100000,13000,32800000,74,20900,True,False,False,som original,True,3
37200,7800000,522,510400000,cringecarter,False,False,2289,friday,1.32,4100000,11200,14100000,58,27400,False,False,False,original sound,True,7
79500,8407,393,4200000,senior_mpak,False,False,30,monday,12.54,4100000,76400,36200000,0,1300000,False,False,True,ladyfingers,True,5
2827,1300000,1,16000000,mestre.das.piscinas,False,False,702,wednesday,19.27,4100000,16300,77100000,349,27000,False,False,False,som original,True,8
45700,914200,606,29800000,amany.turk,False,False,675,wednesday,20.40,4100000,67800,19300000,12,64100,False,False,False,Monkeys Spinning Monkeys,False,10
38300,8800000,2633,394200000,icycol,False,True,1024,thursday,5.20,4100000,168900,20300000,48,170600,False,False,False,I spoke to the devil in Miami by XXXTENTACION,True,2
51600,61400,810,8700000,jess.skon.ness,False,False,179,thursday,5.13,4100000,14200,18000000,9,25800,False,False,False,my love mine all mine sped up,True,3
17400,2500000,206,45900000,hugogmoreiraa,False,False,1035,friday,14.41,4100000,0,53800000,13,57500,False,False,False,som original,True,3
13200,25500,51,3400000,coffee914,False,False,44,sunday,19.12,3200000,17800,22900000,14,209500,False,False,False,sonido original,True,8
60400,106100,8,5100000,itz.kqylq,False,False,483,saturday,17.54,3200000,6891,14900000,7,70300,True,False,False,original sound,True,4
180400,18700,691,3600000,sparki_star,False,False,67,friday,20.33,3200000,23900,20400000,11,175900,False,False,False,CHIPI CHIPI CHAPA CHAPA DUBI DUBI DABA DABA,True,23
43500,15500000,558,1800000000,abbieherbert,False,True,2390,tuesday,1.00,3200000,7164,18400000,13,39800,False,False,False,original sound,True,9
21000,2500000,160,89400000,ellie_mirelli,False,False,906,tuesday,16.41,3200000,20100,27700000,29,91500,True,False,False,no sound,False,4
340,1100000,32,34000000,jleditslngtoh_official,False,False,363,saturday,1.24,3200000,17000,25900000,16,20300,False,False,False,original sound - 𝘾𝙖𝙧𝙡 || 𝙋𝙍𝙀𝙎𝙀𝙏🎟️,True,7
2662,10100000,0,106900000,laika.secret,False,False,28,thursday,3.04,3200000,15200,39700000,15,24800,False,False,False,original sound,True,14
25300,14400000,1734,965500000,skyandtami,False,True,3377,sunday,20.06,3200000,7140,42900000,9,43000,False,False,False,original sound,True,3
1554,39800,80,3400000,lxvleybae,False,False,9,wednesday,16.21,3200000,4503,26100000,40,2429,False,False,False,original sound,True,6
63200,53900,5274,3400000,geetee24,False,False,1031,tuesday,16.06,3200000,27700,17900000,18,39200,False,False,False,Why You Asking All Them Questions,False,4
51100,639200,2213,11400000,xx_teamwagner4l_xx,False,False,725,thursday,13.17,3200000,13300,21200000,16,16700,False,False,False,its just a cigarette and it cannot be that bad,True,10
11000,1700000,60,71200000,kingmoody_,False,False,660,monday,16.20,3200000,20400,22700000,8,61600,True,False,False,Wavin Flag,True,5
166000,5300000,1048,193500000,mcplaygt,False,True,1361,friday,19.11,3200000,13700,12800000,46,25200,False,False,False,original sound,True,10
22900,339400,16,13100000,oldrod,False,False,72,wednesday,18.46,3200000,81800,12700000,5,249600,True,False,False,EverybodyMakesMistakes,True,14
18400,1700000,115,45700000,mamaandkenn,False,False,864,saturday,0.54,4400000,16900,27400000,8,141800,False,False,False,original sound,True,13
114200,63000,222,6200000,hopthegoat,False,False,190,wednesday,21.20,4400000,11600,21700000,15,72600,False,False,False,original sound,True,4
21900,7800000,3368,287100000,maseplace,False,True,1024,thursday,2.58,4400000,24600,16600000,25,101800,False,False,False,original sound,True,9
25000,765000,242,23100000,unatalgorritos,False,False,290,monday,18.06,4400000,17900,40200000,23,15700,False,False,False,its just a cigarette and it cannot be that bad,True,10
33400,26800,115,6800000,evejulia,False,False,49,friday,20.52,4400000,21700,28400000,15,162300,False,False,False,snowfall,False,22
1187,4300000,113,109800000,theheisenbergvariant,False,False,282,sunday,17.53,4400000,16100,50300000,8,55900,False,False,False,Pope Is a Rockstar,False,3
35100,1100000,3576,16700000,bettymaelabadia,False,False,537,saturday,10.06,4400000,68800,39600000,17,180200,True,False,False,no sound,True,4
486,31200,10,4800000,dochoi_votri,False,False,178,thursday,10.50,4400000,84900,47700000,47,139900,False,False,False,nhạc nền - CẢNH SÁT ĐẶC NHIỆM,True,7
18400,1400000,2466,15600000,chroniclecountdowns,False,False,275,sunday,2.10,4400000,69400,41200000,70,102300,False,False,False,"Spooky, quiet, scary atmosphere piano songs",False,10
5500,4500000,87,84500000,this.tourettes.guy,False,True,580,sunday,15.57,4400000,62100,29100000,67,287900,False,False,False,Monkeys Spinning Monkeys,False,7
18000,556000,320,12000000,chrowmiee,False,False,28,saturday,19.04,4400000,52900,21600000,14,68500,False,False,False,What You Won't Do for Love,False,11
4058,515200,939,8900000,ellyssemason,False,True,837,tuesday,13.47,4400000,43100,19700000,9,83300,False,False,False,original sound,True,4
26700,748800,249,17100000,izy.ace,False,False,551,wednesday,16.09,4400000,33400,30900000,15,46300,False,False,False,Scary,False,9
5257,21500,162,4400000,ti.bilaa,False,False,16,monday,20.33,4400000,20200,34200000,6,98200,False,False,False,original sound,True,2
582,1400000,288,26100000,garmezyglass,False,False,488,monday,15.53,4400000,9626,59200000,20,17200,True,False,False,All I Want for Christmas Is You,False,14
7927,1400000,11,90700000,lukenizzy,False,False,200,friday,5.23,4400000,6969,22300000,42,179400,False,False,False,original sound,True,12
12900,9000000,90,284600000,surbhiirathore3,False,True,1007,saturday,12.35,4400000,6141,53800000,17,72900,True,False,False,original sound - Mehak Gupta,True,5
40800,309200,233,7900000,fxnivk,False,False,382,monday,18.08,4400000,22200,22400000,11,246300,True,False,False,original sound,True,12
884,366700,18,14800000,army.usa.love,False,False,77,sunday,6.57,4400000,8951,32800000,121,47800,False,False,False,original sound,True,10
15900,796100,287,36500000,dreamchaserjayy,False,False,605,monday,21.31,4400000,48600,17200000,26,67100,False,False,False,original sound,True,3
798,261800,549,4800000,drewballislife,False,False,87,thursday,3.24,4400000,12500,53200000,12,27600,False,False,False,New Rules (Alison Wonderland Remix),False,6
